year,mean_inflation,min_inflation,max_inflation,std_inflation,iqr25,iqr75
1871,1.432647690962912,-16.13038137634173,9.766276868421686,6.041862870151802,0.06136763368365105,4.189552115153555
1872,3.1628603606871533,-26.90582868128581,20.5809811296114,9.542035760605733,0.0,7.078961930851585
1873,4.635447233352284,-2.044153725800868,31.9444450591736,7.5339289242309615,0.0,6.2531005579324175
1874,-0.8816847294532919,-17.89473825451789,16.21893715105289,7.89762822541383,-4.085869561029135,3.2795432879306974
1875,-2.6437981313171903,-14.5537971105413,10.37272241141367,5.424383695856361,-4.2042660873228055,-0.15673981310560803
1876,-0.1744185263077059,-16.30889664659651,8.328800399132774,5.2176485105543335,-1.9732678713756726,1.4528286384715707
1877,0.7794358290023556,-5.940587242126205,13.74999874207001,4.186299412620215,-0.6560272721638727,2.478439787144299
1878,-2.945938217558215,-10.59106098041691,11.94300736016762,4.765602536707688,-4.792406763097507,-1.1864967430161857
1879,-0.6974032749061951,-7.266435986159159,33.30625801249545,8.895519547997877,-4.920081869662088,0.0
1880,2.4616870661105708,-6.976743097518656,14.56428900072848,5.137128909789803,0.157554624196979,3.674052885489248
1881,0.7912917156529217,-6.464307995338636,10.15957403446033,3.7331761170036803,-0.894460509280479,2.4013139783274013
1882,-0.3541140913638343,-6.93706817991302,6.338028495548609,3.088881194913637,-1.025705035823007,0.8363558076032449
1883,-1.9239045240092614,-14.07817394268938,10.93747363281581,5.006815220705599,-4.613414525473769,0.49668513209835674
1884,-4.043107521050363,-12.499996390218,1.408462130530941,3.7871049392453315,-6.540536525895366,-1.6014477899165305
1885,-2.653199631144985,-10.36941603881379,2.214324520101418,2.9717101829740917,-4.221718025096738,-0.07950272339781846
1886,-3.0174066364575265,-11.81364346956066,2.857142377931443,3.7477780298309757,-4.541541304449296,-0.21982137734422447
1887,0.21123167813862664,-3.629536065924111,6.344337182707127,3.3153324761908154,-2.638344305263046,1.8282985270850651
1888,-0.3001491177258378,-4.285714733621937,3.556771559065641,2.0979291024122744,-1.6884761918768783,1.0126504410467136
1889,2.6633741930842607,-2.625474485689561,8.571427133794307,3.0678285854022915,0.8900025180848712,4.306063206289973
1890,2.426730013831401,-2.18978125576722,13.15789491107064,3.5446123211405998,0.05000000007353565,3.528755765433428
1891,1.0921223125379027,-6.921239144156299,12.69230769230769,4.571603616715434,-0.36901528778086823,2.498900791847797
1892,-1.1424272986245598,-8.034450092831113,5.631399317406149,3.2963575080937537,-1.7365529176808976,0.0
1893,-1.9923866676938475,-5.747090269543387,2.352940781825885,2.2154887225165094,-3.35543465823514,-0.7115658397645913
1894,-2.4018529096758847,-9.897610921501707,3.183023423379638,3.4731594010721616,-4.400750851034802,-0.4703052895930617
1895,-1.1393178288284833,-6.779634817577607,9.447301247784768,3.948033494264177,-2.932206495750359,0.0
1896,0.37782608684175184,-4.654088710827731,10.04110671920404,3.244536755829798,-0.7147145823324348,1.1579768260910064
1897,2.017697965304331,-2.197802961663597,11.41942159588136,3.8454810677483957,-0.16896103725672623,2.765438266079745
1898,2.7060273075596712,-1.818196099171477,9.83009915265123,3.07358782785345,0.3943425523665833,4.277126218870386
1899,0.6015258797849403,-5.637326397234776,5.555555555555558,3.0836632558899257,-1.1770956264996773,2.3170174944261883
1900,2.9190297050926346,-3.662950679827148,12.65822783901043,4.345110065319265,0.9765983795502569,4.805835921508278
1901,0.03698948313931957,-2.441860483506331,3.571396410979677,1.6234463821468836,-1.2848260113962646,0.936117956180582
1902,0.4200939151947054,-3.333333706053332,6.779675495549209,2.241544714938532,-0.24852329943112478,0.8848665783330434
1903,1.3812444881503376,-3.448245881332035,5.000682537816048,1.9608963250652893,0.10000000688588084,2.8321433827099285
1904,-0.034342127062267615,-12.35955049017044,6.666665548506656,3.8211717143630812,-0.15522671965814486,1.440822416025167
1905,0.7923239298341355,-2.95915943615277,3.853493340585002,1.758007289056821,0.0,2.3151206944423857
1906,1.907946494699619,-2.700000449956119,10.00000014184002,2.7926316681503978,0.12577288790017543,2.185087648534595
1907,2.9786397267854365,0.0,10.45994824005558,2.5953212337508287,1.1241754952164007,4.525897383633837
1908,0.432959524459042,-3.44640119858638,5.263157894736836,2.1698298164341265,-0.8310983076650427,1.4610570000207215
1909,-0.6885476666709479,-3.884698983151945,2.068950485440268,1.7455747331634213,-1.6858678930954387,0.42886695246907025
1910,1.3883015162788819,-4.123712391934953,4.587560652905243,2.011132438311516,0.28670200172743776,2.752565081094493
1911,2.6284168883757486,-3.564156678669073,7.575745454545468,3.0629886412593748,0.17798965091000263,4.150078293784726
1912,3.2097216728106317,-1.010101694618926,8.450705177544249,2.6991385359275353,0.9504961986681715,5.361642192839634
1913,0.850806370956051,-4.761904755472113,4.166654159825423,2.361811776179438,0.0,3.053181763309704
1914,0.3721789388382483,-7.879999163938434,5.263136288090919,2.53503278941327,0.0,1.2677320236651912
1915,11.550320043510014,-6.404689256390084,39.53896093811649,10.093066610036347,4.77215741397958,14.99999624660686
1916,16.87332912845233,0.0,61.3627090680523,13.70996171576689,8.099190312180893,18.906071774388614
1917,26.883823001769617,0.0,94.75587703435804,26.145455954440138,15.881300149230036,25.91538461692108
1918,40.480602731279596,0.0,241.4113277623028,53.521777602996025,17.773444163584365,40.286869056771934
1919,7.0273447480753894,-37.67605634320036,33.04726677245393,15.049855747435092,1.663166608488059,13.875855369150473
1920,15.11728617953073,0.0,73.1343277230323,18.205084765736522,1.959841734430573,18.12509941912466
1921,-3.326381938814721,-19.42003580471477,56.72413801828687,18.852547937159116,-12.741846615371237,-2.707138000471343
